initial,final
-4470.68,-4828.5723
-4523.082,-4815.3574
-4493.501,-4819.9883
-4524.262,-4819.321
-4535.2236,-4827.776
-4491.6875,-4819.1885
-4467.862,-4793.156
-4449.195,-4819.8965
-4439.4653,-4806.968
-4428.6567,-4823.6685
-4494.606,-4822.684
-4474.82,-4813.049
-4431.829,-4814.627
-4470.519,-4817.4614
-4428.978,-4810.7437
-4493.619,-4824.658
-4491.905,-4813.3257
-4468.4663,-4817.1377
-4501.749,-4822.0854
-4511.347,-4812.8477
-4434.896,-4812.408
-4426.1514,-4786.695
-4444.818,-4801.8594
-4470.0703,-4801.685
-4419.906,-4805.2007
-4437.5728,-4819.3096
-4467.2686,-4803.3833
-4435.914,-4800.84
-4486.46,-4814.4946
-4489.9497,-4801.2485
-4538.177,-4811.1714
-4437.469,-4812.5625
-4431.6514,-4813.4937
-4468.946,-4807.669
-4497.2866,-4825.433
-4502.0874,-4819.271
-4484.822,-4818.5195
-4433.366,-4818.2256
-4433.366,-4818.2256
-4475.5586,-4825.915
-4505.6353,-4822.126
-4500.0264,-4809.631
-4463.524,-4804.657
-4466.433,-4822.681
-4529.993,-4825.4434
-4492.2705,-4811.7656
-4536.751,-4818.8657
-4482.8423,-4809.681
-4492.618,-4831.446
-4471.362,-4822.072
-4472.5137,-4821.1426
-4483.057,-4822.169
-4384.2256,-4808.607
-4490.4478,-4818.3
-4481.6562,-4806.171
-4431.681,-4818.9688
-4533.9326,-4817.9814
-4498.162,-4802.902
-4457.7305,-4828.9277
-4493.6978,-4810.1064
-4493.6978,-4810.1064
-4529.1323,-4821.7427
-4450.6196,-4822.054
-4463.3003,-4820.699
-4493.5605,-4817.093
-4501.4795,-4831.359
-4426.731,-4801.174
-4477.218,-4808.3745
-4372.7173,-4811.2075
-4432.4033,-4805.5317
-4465.655,-4775.5107
-4492.169,-4811.713
-4476.926,-4816.496
-4455.6274,-4817.8267
-4425.758,-4818.21
-4402.0444,-4804.7554
-4401.717,-4803.8423
-4427.272,-4802.9043
-4456.8735,-4787.5854
-4475.7173,-4818.759
-4503.807,-4823.1543
-4433.8457,-4798.627
-4480.562,-4822.738
-4490.448,-4789.7124
-4411.867,-4823.0356
-4472.7144,-4825.341
-4466.1104,-4808.833
-4510.2524,-4827.747
-4418.3096,-4814.506
-4473.4136,-4797.9473
-4427.14,-4826.0024
-4517.432,-4800.375
-4431.3125,-4819.3647
-4439.449,-4800.144
-4513.1646,-4819.5874
-4513.7007,-4810.5273
-4513.7007,-4810.5273
-4420.4966,-4766.3633
-4412.8643,-4810.461
-4437.2515,-4822.1836
-4412.258,-4807.639
-4457.814,-4810.674
-4481.402,-4821.899
-4472.4775,-4821.7153
-4428.327,-4797.795
-4505.5005,-4814.6064
-4475.0356,-4820.3296
-4470.5566,-4803.839
-4437.7173,-4811.188
-4477.7354,-4816.7764
-4484.2173,-4803.406
-4469.944,-4809.592
-4470.5386,-4826.991
-4469.9663,-4819.839
-4485.0312,-4817.6333
-4483.8887,-4822.7036
-4483.3154,-4805.3433
-4410.995,-4795.769
-4477.0093,-4833.4385
-4527.54,-4817.257
-4475.9375,-4821.823
-4497.279,-4824.4966
